person_id,source_img,source_age,target_img,target_age,id_score,estimated_age,age_mae,estimated_gender,gender_match,preprocessing_fallback,runtime_sec,rank1_correct,top1_identity,id_score_target_aligned,status
2,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/002A20.JPG,20,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/002A26.JPG,26,0.4109036922454834,15,11,female,True,False,158.33046746253967,True,2,0.4005019962787628,OK (Authentic image)
3,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/003A25.JPG,25,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/003A38.JPG,38,0.4220576286315918,25,13,male,True,False,157.8845682144165,True,3,0.4242285490036011,OK (Authentic image)
5,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/005A45.JPG,45,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/005A52.JPG,52,0.6539387106895447,44,8,female,True,False,160.31955552101135,True,5,0.6844089031219482,OK (Authentic image)
11,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/011A27.JPG,27,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/011A40.JPG,40,0.4586890935897827,27,13,male,True,False,158.13311553001404,True,11,,Ghi đè bởi mẫu khác trong batch
11,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/011A34.JPG,34,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/011A42.JPG,42,0.6604598760604858,34,8,male,True,False,160.27993988990784,True,11,,Ghi đè bởi mẫu khác trong batch
12,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/012A18.JPG,18,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/012A25.JPG,25,0.3294797539710998,20,5,female,True,False,161.0428078174591,True,12,,Ghi đè bởi mẫu khác trong batch
13,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/013A25.JPG,25,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/013A34.JPG,34,0.1129102408885955,33,1,male,True,False,160.29359197616577,True,13,,Ghi đè bởi mẫu khác trong batch
17,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/017A15.JPG,15,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/017A22.JPG,22,0.5442212820053101,18,4,male,True,False,158.62978863716123,True,17,,Ghi đè bởi mẫu khác trong batch
18,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/018A28.JPG,28,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/018A36.JPG,36,0.4978540539741516,35,1,female,True,False,159.94229698181152,True,18,,Ghi đè bởi mẫu khác trong batch
22,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/022A16.JPG,16,/kaggle/input/datasets/menonkk/nckh-2025-2026/FGNET (1)/FGNET/images/022A23.JPG,23,0.4606844186782837,20,3,male,True,False,160.6583902835846,True,22,,Ghi đè bởi mẫu khác trong batch
